,resort,precipitation,temp_max,temp_min,wind
0,resort #1,0.0,12.8,5.0,4.7
1,resort #2,10.9,10.6,2.8,4.5
2,resort #3,0.8,11.7,7.2,2.3
3,resort #4,20.3,12.2,5.6,4.7
4,resort #5,1.3,8.9,2.8,6.1
5,resort #6,2.5,4.4,2.2,2.2
6,resort #7,0.0,7.2,2.8,2.3
7,resort #8,0.0,10.0,2.8,2.0
8,resort #9,4.3,9.4,5.0,3.4
9,resort #10,1.0,6.1,0.6,3.4
10,resort #11,0.0,6.1,-1.1,5.1
11,resort #12,0.0,6.1,-1.7,1.9
12,resort #13,0.0,5.0,-2.8,1.3
13,resort #14,4.1,4.4,0.6,5.3
14,resort #15,5.3,1.1,-3.3,3.2
15,resort #16,2.5,1.7,-2.8,5.0
16,resort #17,8.1,3.3,0.0,5.6
17,resort #18,19.8,0.0,-2.8,5.0
18,resort #19,15.2,-1.1,-2.8,1.6
19,resort #20,13.5,7.2,-1.1,2.3
20,resort #21,3.0,8.3,3.3,8.2
21,resort #22,6.1,6.7,2.2,4.8
22,resort #23,0.0,8.3,1.1,3.6
23,resort #24,8.6,10.0,2.2,5.1
24,resort #25,8.1,8.9,4.4,5.4
25,resort #26,4.8,8.9,1.1,4.8
26,resort #27,0.0,6.7,-2.2,1.4
27,resort #28,0.0,6.7,0.6,2.2
28,resort #29,27.7,9.4,3.9,4.5
29,resort #30,3.6,8.3,6.1,5.1
30,resort #31,1.8,9.4,6.1,3.9
31,resort #32,13.5,8.9,3.3,2.7
32,resort #33,0.0,8.3,1.7,2.6
33,resort #34,0.0,14.4,2.2,5.3
34,resort #35,0.0,15.6,5.0,4.3
35,resort #36,0.0,13.9,1.7,2.9
36,resort #37,0.0,16.1,1.7,5.0
37,resort #38,0.3,15.6,7.8,5.3
38,resort #39,2.8,10.0,5.0,2.7
39,resort #40,2.5,11.1,7.8,2.4
40,resort #41,2.5,12.8,6.7,3.0
41,resort #42,0.8,8.9,5.6,3.4
42,resort #43,1.0,8.3,5.0,1.3
43,resort #44,11.4,7.2,4.4,1.4
44,resort #45,2.5,6.7,1.1,3.1
45,resort #46,0.0,7.2,0.6,1.8
46,resort #47,1.8,7.2,3.3,2.1
47,resort #48,17.3,10.0,4.4,3.4
48,resort #49,6.4,6.7,3.9,8.1
49,resort #50,0.0,6.7,2.2,4.7
50,resort #51,3.0,7.8,1.7,2.9
51,resort #52,0.8,10.0,7.8,7.5
52,resort #53,8.6,10.0,2.8,5.9
53,resort #54,0.0,8.3,2.8,3.9
54,resort #55,11.4,6.7,4.4,3.5
55,resort #56,0.0,7.2,2.8,6.4
56,resort #57,1.3,5.0,-1.1,3.4
57,resort #58,0.0,6.7,-2.2,3.0
58,resort #59,3.6,6.7,-0.6,4.2
59,resort #60,0.8,5.0,1.1,7.0
60,resort #61,0.0,6.1,1.1,3.1
61,resort #62,2.0,6.7,3.9,5.1
62,resort #63,0.0,12.2,6.7,7.0
63,resort #64,0.0,10.6,6.7,5.6
64,resort #65,6.9,7.8,1.1,6.2
65,resort #66,0.5,6.7,0.0,2.7
66,resort #67,0.0,8.9,-1.7,2.7
67,resort #68,0.0,15.6,0.6,2.5
68,resort #69,3.6,9.4,5.0,2.8
69,resort #70,10.4,7.2,6.1,3.4
70,resort #71,13.7,6.7,2.8,5.8
71,resort #72,19.3,8.3,0.6,6.2
72,resort #73,9.4,5.6,0.6,5.3
73,resort #74,8.6,7.8,1.1,4.7
74,resort #75,23.9,11.1,5.6,5.8
75,resort #76,8.4,8.9,3.9,5.1
76,resort #77,9.4,10.0,0.6,3.8
77,resort #78,3.6,5.0,-0.6,2.7
78,resort #79,2.0,7.2,-1.1,3.0
79,resort #80,3.6,7.8,2.2,6.4
80,resort #81,1.3,8.9,1.1,2.5
81,resort #82,4.1,10.0,1.7,2.1
82,resort #83,0.0,12.2,0.6,2.8
83,resort #84,0.0,15.0,3.3,5.2
84,resort #85,0.0,13.3,2.2,2.7
85,resort #86,0.0,12.8,6.1,4.3
86,resort #87,4.8,14.4,6.7,3.8
87,resort #88,1.3,10.6,7.2,5.9
88,resort #89,27.4,10.0,6.1,4.4
89,resort #90,5.6,9.4,5.0,4.7
90,resort #91,13.2,10.0,2.8,3.4
91,resort #92,1.5,8.9,4.4,6.8
92,resort #93,0.0,16.7,4.4,3.1
93,resort #94,1.5,11.7,3.3,3.1
94,resort #95,0.0,10.6,2.8,2.1
95,resort #96,4.6,9.4,2.8,1.8
96,resort #97,0.3,11.1,3.3,2.6
97,resort #98,0.0,16.1,1.7,4.3
98,resort #99,0.0,21.1,7.2,4.1
99,resort #100,0.0,20.0,6.1,2.1
100,resort #101,0.0,17.8,8.9,3.2
101,resort #102,2.3,11.1,7.2,2.6
102,resort #103,0.5,13.9,5.6,2.6
103,resort #104,0.0,15.0,3.9,4.0
104,resort #105,0.0,15.6,3.3,3.0
105,resort #106,0.0,16.1,7.2,2.9
106,resort #107,8.1,13.3,6.7,5.8
107,resort #108,1.8,10.0,4.4,2.0
108,resort #109,1.8,13.3,7.2,3.9
109,resort #110,10.9,13.9,5.0,2.6
110,resort #111,6.6,13.3,6.7,2.7
111,resort #112,0.0,20.0,4.4,2.3
112,resort #113,0.0,23.3,8.3,2.6
113,resort #114,0.0,21.7,8.9,3.5
114,resort #115,4.3,13.9,10.0,2.8
115,resort #116,10.7,16.7,8.9,2.6
116,resort #117,3.8,13.9,6.7,5.2
117,resort #118,0.8,13.3,6.1,4.8
118,resort #119,0.0,16.1,8.3,2.5
119,resort #120,4.3,15.6,8.9,1.6
120,resort #121,4.3,12.8,7.2,8.0
121,resort #122,0.5,11.7,6.1,6.4
122,resort #123,0.5,13.3,5.6,2.5
123,resort #124,18.5,11.1,7.2,3.4
124,resort #125,1.8,12.2,6.1,4.6
125,resort #126,0.0,13.3,5.0,2.3
126,resort #127,0.0,17.8,5.0,2.4
127,resort #128,0.0,23.9,6.1,2.2
128,resort #129,0.0,18.3,9.4,3.0
129,resort #130,0.0,13.3,6.7,3.9
130,resort #131,0.0,14.4,3.9,3.0
131,resort #132,0.0,18.3,4.4,4.3
132,resort #133,0.0,24.4,6.7,3.4
133,resort #134,0.0,25.6,9.4,4.2
134,resort #135,0.0,26.7,12.8,3.8
135,resort #136,0.0,24.4,9.4,4.1
136,resort #137,0.0,19.4,9.4,3.5
137,resort #138,0.0,17.8,6.7,2.9
138,resort #139,0.0,15.6,7.8,3.1
139,resort #140,0.0,19.4,7.2,1.5
140,resort #141,6.4,14.4,11.7,1.3
141,resort #142,14.0,16.7,10.0,4.0
142,resort #143,6.1,12.8,8.9,4.8
143,resort #144,0.3,14.4,8.9,6.3
144,resort #145,0.0,17.2,8.9,3.3
145,resort #146,0.0,22.2,8.9,3.1
146,resort #147,0.0,22.2,8.9,3.6
147,resort #148,0.0,17.2,11.7,3.7
148,resort #149,0.0,16.7,10.0,3.4
149,resort #150,0.0,16.1,7.8,1.8
150,resort #151,0.3,18.9,11.1,1.5
151,resort #152,3.8,17.8,12.2,2.7
152,resort #153,6.6,20.0,12.8,3.7
153,resort #154,0.3,18.9,10.6,3.7
154,resort #155,0.0,17.2,9.4,2.9
155,resort #156,1.3,12.8,8.9,3.1
156,resort #157,16.0,13.3,8.3,3.3
157,resort #158,0.0,16.1,6.1,3.4
158,resort #159,16.5,16.1,8.9,3.5
159,resort #160,1.5,15.0,8.3,3.0
160,resort #161,0.0,17.2,8.3,4.7
161,resort #162,0.0,18.9,10.0,2.9
162,resort #163,0.0,23.3,10.0,1.8
